clean_name,season,position,games,fantasy_points_ppr,targets,carries,receiving_yards,rushing_yards,receptions,receiving_tds,rushing_tds,passing_yards,passing_tds,interceptions,recent_team,player_name,player_key,avg_fantasy_points_3yr,avg_targets_3yr,avg_carries_3yr,performance_trend_pct,consistency_score,seasons_played,total_games,avg_opportunity,total_touches,yards_per_touch,passing_efficiency,catch_rate,yards_per_target,points_per_game,opportunity_share
AVERY WILLIAMS,2022,RB,14,36.0,14,22,61.0,109.0,13,0,1,0.0,0,0.0,ATL,Avery Williams,AVERY WILLIAMS_RB,36.0,14.0,22.0,0.0,0.0,1,14,36.0,36.0,4.722222328186035,0.0,0.0,0.0,2.5714285714285716,36
BAILEY ZAPPE,2024,QB,1,7.0,0,2,0.0,2.0,0,0,0,170.0,1,2.0,CLE,Bailey Zappe,BAILEY ZAPPE_QB,38.606666564941406,0.3333333333333333,9.666666666666666,-89.8814697265625,1.2412570714950562,3,15,10.0,0.0,0.0,5.88235294117647,0.0,0.0,7.0,2
BAKER MAYFIELD,2024,QB,18,381.5,0,67,0.0,401.0,0,0,3,4685.0,43,16.0,TB,Baker Mayfield,BAKER MAYFIELD_QB,275.8399963378906,0.0,54.666666666666664,17.529264450073242,2.017489433288574,3,49,54.666666666666664,0.0,0.0,9.178228388473853,0.0,0.0,21.194444444444443,67
BAM KNIGHT,2023,RB,2,3.1,1,3,8.0,13.0,1,0,0,0.0,0,0.0,DET,Bam Knight,BAM KNIGHT_RB,3.0999999046325684,1.0,3.0,0.0,0.0,1,2,4.0,4.0,5.25,0.0,0.0,0.0,1.5499999523162842,4
BEN ELLEFSON,2022,TE,2,5.6000004,3,0,26.0,0.0,3,0,0,0.0,0,0.0,MIN,Ben Ellefson,BEN ELLEFSON_TE,5.600000381469727,3.0,0.0,0.0,0.0,1,2,3.0,0.0,0.0,0.0,1.0,8.666666666666666,2.8000001907348633,3
BEN SIMS,2024,TE,4,8.200001,5,0,42.0,0.0,4,0,0,0.0,0,0.0,GB,Ben Sims,BEN SIMS_TE,10.850000381469727,6.0,0.0,-39.259254455566406,2.8951358795166016,2,11,6.0,0.0,0.0,0.0,0.8,8.4,2.0500001907348633,5
BEN SINNOTT,2024,TE,5,17.1,6,0,51.0,0.0,6,1,0,0.0,0,0.0,WAS,Ben Sinnott,BEN SINNOTT_TE,17.100000381469727,6.0,0.0,0.0,0.0,1,5,6.0,0.0,0.0,0.0,1.0,8.5,3.4200000762939453,6
BEN SKOWRONEK,2024,WR,4,11.9,5,0,69.0,0.0,5,0,0,0.0,0,0.0,PIT,Ben Skowronek,BEN SKOWRONEK_WR,39.733333587646484,26.333333333333332,1.0,-48.26087188720703,1.01898992061615,3,28,27.333333333333332,0.0,0.0,0.0,1.0,13.8,2.9749999046325684,5
BENNY SNELL,2022,RB,3,18.7,2,20,17.0,90.0,2,0,1,0.0,0,0.0,PIT,Benny Snell,BENNY SNELL_RB,18.700000762939453,2.0,20.0,0.0,0.0,1,3,22.0,22.0,4.863636493682861,0.0,0.0,0.0,6.233333587646484,22
BIJAN ROBINSON,2024,RB,17,341.7,72,304,431.0,1456.0,61,1,14,0.0,0,0.0,ATL,Bijan Robinson,BIJAN ROBINSON_RB,294.0,79.0,259.0,38.73325729370117,4.358267784118652,2,34,338.0,376.0,5.018617153167725,0.0,0.0,0.0,20.100000718060663,376
BLAINE GABBERT,2023,QB,2,5.9000006,0,7,0.0,45.0,0,0,0,185.0,0,3.0,KC,Blaine Gabbert,BLAINE GABBERT_QB,5.53000020980835,0.0,3.5,14.341099739074707,10.56836986541748,2,3,3.5,0.0,0.0,0.0,0.0,0.0,2.950000286102295,7
BLAKE BELL,2023,TE,6,11.599999,9,0,26.0,0.0,5,1,0,0.0,0,0.0,KC,Blake Bell,BLAKE BELL_TE,11.5,6.5,0.0,1.7543842792510986,81.31735229492188,2,9,6.5,0.0,0.0,0.0,0.5555555555555556,2.888888888888889,1.9333332379659016,9
BLAKE CORUM,2024,RB,14,33.5,8,58,58.0,207.0,7,0,0,0.0,0,0.0,LA,Blake Corum,BLAKE CORUM_RB,33.5,8.0,58.0,0.0,0.0,1,14,66.0,66.0,4.015151500701904,0.0,0.0,0.0,2.392857142857143,66
