name,position,fantasy_points_target,weighted_historical_avg,consistency_score,performance_trend,seasons_played,total_career_points,games_played,targets,carries
D.Evans,RB,0.3,0.3,0.5,0.0,1,0.3,,0.0,
D.FOREMAN,WR,,,,,2,,16.0,6.0,40.0
D.Foreman,RB,32.6,32.6,0.5,0.0,1,32.6,,8.0,
D.GOEDERT,WR,,,,,2,,16.0,56.0,1.0
D.Goedert,TE,149.4,149.4,0.5,0.0,1,149.4,,72.0,
D.HENRY,RB,,,,,2,,16.0,8.0,256.0
D.HOPKINS,WR,,,,,2,,16.0,89.0,0.0
D.Henry,RB,381.4,381.4,0.5,0.0,1,381.4,,24.0,
D.Holker,TE,5.1,5.1,0.5,0.0,1,5.1,,4.0,
D.Hopkins,WR,160.9,160.9,0.5,0.0,1,160.9,,88.0,
D.JOHNSON,WR,,,,,2,,16.0,18.0,25.0
D.JONES,WR,,,,,2,,16.0,0.0,27.0
D.Johnson,RB,35.9,63.5999975,0.03484320861003559,-0.6002166630669915,16,1017.59996,,19.0,
D.Jones,QB,135.3,135.3,0.5,0.0,1,135.3,,0.0,
D.KINCAID,WR,,,,,2,,16.0,47.0,0.0
D.KNOX,WR,,,,,2,,16.0,23.0,0.0
D.KRAMER,WR,,,,,2,,16.0,0.0,7.0
D.Kincaid,TE,113.9,113.9,0.5,0.0,1,113.9,,84.0,
D.Knox,TE,67.6,67.6,0.5,0.0,1,67.6,,39.0,
D.LOCK,WR,,,,,2,,16.0,1.0,9.0
D.LONDON,WR,,,,,2,,16.0,151.0,0.0
D.Lock,QB,80.14,80.14,0.5,0.0,1,80.14,,0.0,
D.London,WR,280.8,280.8,0.5,0.0,1,280.8,,158.0,
D.MAYE,WR,,,,,2,,16.0,3.0,42.0
D.METCALF,WR,,,,,2,,16.0,81.0,0.0
D.MONTGOMERY,WR,,,,,2,,16.0,25.0,149.0
D.MOONEY,WR,,,,,2,,16.0,100.0,0.0
D.MOORE,WR,,,,,2,,16.0,150.0,0.0
D.Martin-Robinson,TE,1.6,1.6,0.5,0.0,1,1.6,,2.0,
D.Maye,QB,177.14,177.14,0.5,0.0,1,177.14,,0.0,
D.Metcalf,WR,191.2,191.2,0.5,0.0,1,191.2,,108.0,
D.Mills,QB,9.58,9.58,0.5,0.0,1,9.58,,0.0,
D.Montgomery,RB,225.31999,225.31999,0.5,0.0,1,225.31999,,38.0,
D.Mooney,WR,193.2,193.2,0.5,0.0,1,193.2,,106.0,
D.Moore,WR,85.1,161.6,0.012903225806451613,-0.6398996235884568,16,2585.6,,57.0,
D.NJOKU,WR,,,,,2,,16.0,76.0,0.0
D.Njoku,TE,148.5,148.5,0.5,0.0,1,148.5,,97.0,
D.OGUNBOWALE,WR,,,,,2,,16.0,21.0,28.0
D.Ogunbowale,RB,58.4,58.4,0.5,0.0,1,58.4,,29.0,
D.PETTIS,WR,,,,,2,,16.0,19.0,0.0
D.PIERCE,WR,,,,,2,,16.0,3.0,26.0
D.Pettis,WR,32.0,32.0,0.5,0.0,1,32.0,,28.0,
D.Pierce,RB,46.0,46.0,0.5,0.0,1,46.0,,5.0,
D.Prescott,QB,116.520004,116.520004,0.5,0.0,1,116.520004,,0.0,
D.ROBINSON,WR,,,,,2,,16.0,66.0,0.0
D.Ridder,QB,21.92,21.92,0.5,0.0,1,21.92,,0.0,
D.Robinson,WR,137.2,137.2,0.5,0.0,1,137.2,,73.0,
D.SAMPLE,WR,,,,,2,,16.0,16.0,0.0
D.SAMUEL,WR,,,,,2,,16.0,55.0,40.0
D.SCHULTZ,WR,,,,,2,,16.0,72.0,0.0
D.SINGLETARY,WR,,,,,2,,16.0,18.0,95.0
D.SKIPPER,WR,,,,,2,,16.0,0.0,27.0
D.SLAYTON,WR,,,,,2,,16.0,54.0,1.0
D.SMITH,WR,,,,,2,,16.0,68.0,0.0
D.SMYTHE,WR,,,0.5,0.0,1,,16.0,15.0,0.0
D.SWIFT,WR,,,,,2,,16.0,39.0,159.0
D.Sample,TE,36.5,36.5,0.5,0.0,1,36.5,,22.0,
D.Samuel,WR,155.6,155.6,0.5,0.0,1,155.6,,81.0,
D.Schultz,TE,132.8,132.8,0.5,0.0,1,132.8,,93.0,
D.Singletary,RB,96.6,96.6,0.5,0.0,1,96.6,,24.0,
D.Slayton,WR,110.0,110.0,0.5,0.0,1,110.0,,71.0,
D.Smith,WR,240.4,240.4,0.5,0.0,1,240.4,,106.0,
D.Smythe,TE,14.299999,14.299999,0.5,0.0,1,14.299999,,17.0,
D.Swift,RB,214.5,214.5,0.5,0.0,1,214.5,,52.0,
D.THOMPSON,WR,,,,,2,,16.0,5.0,16.0
D.TURNER,WR,,,,,2,,16.0,26.0,3.0
D.Thompkins,WR,6.7000003,6.7000003,0.5,0.0,1,6.7000003,,4.0,
D.Thompson-Robinson,QB,15.8,15.8,0.5,0.0,1,15.8,,0.0,
D.Turner,WR,47.1,47.1,0.5,0.0,1,47.1,,29.0,
D.VAUGHN,WR,,,,,2,,16.0,5.0,10.0
D.VELE,WR,,,,,2,,16.0,33.0,0.0
D.Vaughn,RB,11.8,11.8,0.5,0.0,1,11.8,,5.0,
D.Vele,WR,106.5,106.5,0.5,0.0,1,106.5,,57.0,
D.WASHINGTON,WR,,,,,2,,16.0,24.0,0.0
D.WATSON,WR,,,,,2,,16.0,2.0,20.0
D.WICKS,WR,,,,,2,,16.0,67.0,0.0
D.Walker,WR,9.1,9.1,0.5,0.0,1,9.1,,3.0,
D.Washington,TE,46.9,46.9,0.5,0.0,1,46.9,,28.0,
D.Watson,QB,76.72,76.72,0.5,0.0,1,76.72,,0.0,
D.Wicks,WR,116.4,116.4,0.5,0.0,1,116.4,,82.0,
DAL DST,DST,7.5,7.5,0.5,0.0,1,7.5,,,
DAMIEN MARTINEZ,RB,0.0,0.0,0.5,0.0,1,0.0,,0.0,
DAQUAN FELTON,WR,0.0,0.0,0.5,0.0,1,0.0,,0.0,
DEN DST,DST,5.8,5.8,0.5,0.0,1,5.8,,,
DET DST,DST,5.7,5.7,0.5,0.0,1,5.7,,,
DEVIN NEAL,RB,0.0,0.0,0.5,0.0,1,0.0,,0.0,
DILLON GABRIEL,QB,0.0,0.0,0.5,0.0,1,0.0,,0.0,
DJ GIDDENS,RB,0.0,0.0,0.5,0.0,1,0.0,,0.0,
DOMINIC LOVETT,WR,0.0,0.0,0.5,0.0,1,0.0,,0.0,
DONOVAN EDWARDS,RB,0.0,0.0,0.5,0.0,1,0.0,,0.0,
DONTE THORNTON JR,WR,0.0,0.0,0.5,0.0,1,0.0,,0.0,
DYLAN SAMPSON,RB,0.0,0.0,0.5,0.0,1,0.0,,0.0,
Daniel Carlson,K,7.4,7.4,0.5,0.0,1,7.4,,,
Dustin Hopkins,K,7.6,7.6,0.5,0.0,1,7.6,,,
E.ALL,WR,,,,,2,,16.0,14.0,0.0
E.All,TE,35.8,35.8,0.5,0.0,1,35.8,,22.0,
E.DEMERCADO,WR,,,,,2,,16.0,13.0,18.0
E.Demercado,RB,54.7,54.7,0.5,0.0,1,54.7,,20.0,
E.ELLIOTT,WR,,,,,2,,16.0,13.0,66.0
E.ENGRAM,WR,,,,,2,,16.0,43.0,0.0
E.Elliott,RB,57.5,57.5,0.5,0.0,1,57.5,,15.0,
E.Engram,TE,89.5,89.5,0.5,0.0,1,89.5,,64.0,
E.GRAY,WR,,,,,2,,16.0,8.0,9.0
E.Gray,RB,19.3,19.3,0.5,0.0,1,19.3,,11.0,
E.HIGGINS,WR,,,,,2,,16.0,23.0,0.0
E.Higgins,TE,49.2,49.2,0.5,0.0,1,49.2,,24.0,
E.Jenkins,TE,7.7,7.7,0.5,0.0,1,7.7,,2.0,
E.MOORE,WR,,,,,2,,16.0,70.0,1.0
E.Moore,WR,120.9,120.9,0.5,0.0,1,120.9,,102.0,
E.SAUBERT,WR,,,0.5,0.0,1,,16.0,11.0,0.0
E.Saubert,TE,26.699999,26.699999,0.5,0.0,1,26.699999,,14.0,
E.Tomlinson,TE,2.9,2.9,0.5,0.0,1,2.9,,4.0,
E.Wilson,RB,99.9,99.9,0.5,0.0,1,99.9,,17.0,
EFTON CHISM III,WR,0.0,0.0,0.5,0.0,1,0.0,,0.0,
ELIC AYOMANOR,WR,0.0,0.0,0.5,0.0,1,0.0,,0.0,
ELIJAH ARROYO,TE,0.0,0.0,0.5,0.0,1,0.0,,0.0,
ELIJHAH BADGER,WR,0.0,0.0,0.5,0.0,1,0.0,,0.0,
EMEKA EGBUKA,WR,0.0,0.0,0.5,0.0,1,0.0,,0.0,
Evan McPherson,K,8.5,8.5,0.5,0.0,1,8.5,,,
F.Franks,TE,2.2,2.2,0.5,0.0,1,2.2,,3.0,
F.MOREAU,WR,,,,,2,,16.0,35.0,0.0
F.Moreau,TE,103.3,103.3,0.5,0.0,1,103.3,,43.0,
G.CALCATERRA,TE,,,,,2,,16.0,28.0,0.0
G.Calcaterra,TE,61.2,61.2,0.5,0.0,1,61.2,,31.0,
G.DAVIS,WR,,,,,2,,16.0,41.0,0.0
G.DORTCH,WR,,,,,2,,16.0,38.0,3.0
G.DULCICH,WR,,,0.5,0.0,1,,16.0,11.0,0.0
G.Davis,WR,53.9,53.9,0.5,0.0,1,53.9,,42.0,
G.Dortch,WR,90.3,90.3,0.5,0.0,1,90.3,,50.0,
G.DuBose,WR,3.1,3.1,0.5,0.0,1,3.1,,4.0,
G.Dulcich,TE,7.7999997,7.7999997,0.5,0.0,1,7.7999997,,12.0,
G.EDWARDS,WR,,,,,2,,16.0,3.0,78.0
G.Edwards,RB,66.3,66.3,0.5,0.0,1,66.3,,5.0,
G.Everett,TE,11.599999,11.599999,0.5,0.0,1,11.599999,,13.0,
G.Holani,RB,1.9,1.9,0.5,0.0,1,1.9,,1.0,
G.KITTLE,TE,,,,,2,,16.0,93.0,0.0
G.Kittle,TE,236.6,236.6,0.5,0.0,1,236.6,,94.0,
