player_id,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh,data_year
00-0029664,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0,0.0,0.0,12.0,0.0,0.0,-0.4884473676793277,0,0.0,0.0434782608695652,0.0609137055837563,0.1078569852129772,0.0,0.0,0.0,1,0.0416666666666666,0.0591133004926108,0.0,0.1097906403940886,0.0,,0.0,0.0,,,0.0,0.0,2022
00-0029692,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,0.0,0,1.0,0.0,0.0,-3.9344075334374793,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
00-0029701,2022,REG,212,325,2536.0,14,6.0,33.0,238.0,2,1,2532.0,1179.0,116.0,19.71715441336457,1,12.503220433837251,1.1159025550601402,34,98.0,2,1.0,1.0,12.0,-3.553960902703693,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,165.24,165.24,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1862530715300164,2022
00-0029892,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,7,26.0,1,0.0,0.0,5.0,1.9088444688241,0,19,23,200.0,1,0.0,0.0,63.0,149.0,9.0,6.573157199949492,0,30.35105401844532,0.7142198111891314,0.2695184580902472,1.2599926374468702,0.0,34.6,53.6,13,0.0560975609756097,0.0227108868060562,0.0863768115942028,0.1023150509082596,0.0647458724506312,0.0434782608695652,0.06,0.0578034682080924,0.0541120666600982,0.060492350134418,0.4878048780487805,0.0462723160330121,2022
00-0030035,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,4.0,0,0.0,0.0,0.0,-0.1335235238075256,0,70,107,716.0,6,0.0,0.0,1036.0,152.0,45.0,11.078383340258071,1,12.246581013855955,2.916166059595195,3.901759757137019,7.105480919388706,0.0,110.0,180.0,17,0.1592261904761904,0.206580259222333,0.0718676122931442,0.4041034930921521,0.1486093814860938,0.2,0.1844262295081967,0.1861313868613138,0.1743046907430469,0.158887505188875,1.0654761904761905,0.1078735721734127,2022
00-0030061,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,47,69,406.0,4,0.0,0.0,548.0,130.0,24.0,6.274928354410032,2,9.016132912097984,1.7866616809780478,2.14949302644424,4.184637639978039,0.0,68.6,115.6,10,0.1720698254364089,0.2110127069695802,0.1037509976057462,0.4269149037302776,0.1679073614557485,0.3076923076923077,0.1983471074380165,0.208955223880597,0.2377998345740281,0.1958643507030603,1.0124688279301746,0.1279298820300569,2022
00-0030068,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,2,5.0,0,0.0,0.0,0.0,-0.5099560699309222,0,27,42,387.0,4,0.0,0.0,442.0,114.0,18.0,20.900176979249792,0,12.97574471929477,1.2211555213480758,1.6768430957394584,3.005523449039735,0.0,63.2,90.2,12,0.0990566037735849,0.1447282252783235,0.0928338762214983,0.2643674858830361,0.1280185246443929,0.2,0.1208053691275167,0.1301775147928994,0.1640092623221964,0.1424148197155144,0.9127358490566038,0.0868543696799291,2022
00-0030074,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0,0.0,0.0,1.0,0.0,0.0,-5.991489895153791,0,0.0,0.025,0.002415458937198,0.0391908212560386,0.0,0.0,0.0,1,0.0232558139534883,0.0023310023310023,0.0,0.0367485227950344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
00-0030108,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,4,8,26.0,0,0.0,0.0,53.0,9.0,1.0,-7.944319605303463,0,2.125,0.4378113389878095,0.3563236708495846,0.9061435780764237,0.0,2.6,6.6,7,0.0547945205479452,0.038999264164827,0.0200445434298441,0.1133911921537794,0.0263424518743667,0.0,0.0238095238095238,0.0204081632653061,0.0131712259371833,0.0210739614994934,0.1780821917808219,0.0159466512032473,2022
00-0030279,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,8.0,0,0.0,0.0,1.0,0.5883960318751633,0,66,89,752.0,4,1.0,1.0,770.0,257.0,38.0,27.14227377292331,0,11.911827758181976,2.331495921080699,2.967587907030431,5.57455541654235,0.0,98.0,164.0,10,0.2181372549019608,0.2891475779196395,0.1674267100977198,0.5585239446886527,0.2581531067627875,0.2352941176470588,0.2657342657342657,0.2625,0.2467236122049231,0.2535813089396418,1.843137254901961,0.1645396901838028,2022
00-0030288,2022,REG,0,1,0.0,0,0.0,0.0,0.0,0,0,7.0,0.0,0.0,-0.451972615905106,0,0.0,0.0,26,80.0,0,0.0,0.0,4.0,-6.8097426585736685,0,37,51,204.0,1,0.0,0.0,75.0,214.0,8.0,-23.890382683779663,0,25.847649572649576,1.5481673603651238,0.2934285501475134,2.527651025650945,0.0,34.4,71.4,15,0.1005917159763313,0.0200534759358288,0.1330018645121193,0.1669303547131601,0.0623471882640586,0.0526315789473684,0.0559440559440559,0.0555555555555555,0.0574893836057135,0.0604040664007206,0.4023668639053254,0.0652424203658692,2022
00-0030431,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,53,91,527.0,2,0.0,0.0,716.0,156.0,31.0,8.946638316698975,0,14.402275177698485,3.6104679733620806,3.7389797773363,8.032987804178532,0.0,64.7,117.7,17,0.1995614035087719,0.2007289038407625,0.1012329656067488,0.459925228335768,0.1633095754570808,0.1176470588235294,0.2026143790849673,0.1941176470588235,0.1404783171403051,0.1541770721303706,1.155701754385965,0.1002657852591406,2022
