"RK","PLAYER NAME",TEAM,"POS","AGE","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"64","KeAndre Lambert-Smith",LAC,"WR24","23","51","74","62.9","7.7","-10"
"65","Arian Smith",NYJ,"WR25","23","53","80","65.6","7.5","-6"
"66","Kaden Prather",BUF,"WR26","22","56","88","71.0","8.7","+23"
"67","Quinn Ewers",MIA,"QB10","22","47","78","67.2","8.7","-2"
"68","Jimmy Horn Jr.",CAR,"WR27","22","58","83","70.2","7.5","-4"
"69","Kalel Mullings",TEN,"RB24","22","48","78","67.0","8.9","-3"
"70","Mitchell Evans",CAR,"TE9","22","54","103","72.3","13.4","+12"
"71","Phil Mafah",DAL,"RB25","22","48","79","62.7","10.2","-13"
"72","Nick Nash",ATL,"WR28","25","45","83","66.6","11.2","-3"
"73","Jordan Watkins",SF,"WR29","23","54","91","67.6","11.1","-16"
"74","Kurtis Rourke",SF,"QB11","24","63","77","70.4","5.3","+72"
"75","Raheim Sanders",LAC,"RB26","23","63","79","72.8","5.0","+4"
"76","Luke Lachey",HOU,"TE10","24","64","87","76.8","6.7","+14"
"77","Thomas Fidone II",NYG,"TE11","22","58","87","72.4","10.8","+3"
"78","Isaiah Bond",FA,"WR30","-","59","117","79.0","20.1","0"
"79","Marcus Yarns",NO,"RB27","23","57","78","65.0","7.1","-7"
"80","LaJohntay Wester",BAL,"WR31","23","58","94","78.5","11.3","-"
"81","Ja'Corey Brooks",WAS,"WR32","23","64","99","79.8","11.7","0"
"82","Elijhah Badger",KC,"WR33","23","65","81","71.8","5.4","+5"
"83","Jake Briningstool",KC,"TE12","22","78","92","82.0","4.9","+3"
"84","Jalin Conyers",MIA,"TE13","24","63","92","76.8","9.2","+36"
"85","Efton Chism III",NE,"WR34","-","53","101","67.3","19.8","-12"
"86","Antwane Wells Jr.",NYG,"WR35","24","62","93","80.2","10.6","+6"
"87","Konata Mumpfield",LAR,"WR36","22","65","94","80.6","10.9","-13"
"88","Corey Kiner",SF,"RB28","23","75","94","82.8","7.5","+10"
"89","Isaiah Neyor",SF,"WR37","24","69","102","83.2","11.5","-19"
"90","Beaux Collins",NYG,"WR38","22","65","100","83.4","11.3","+61"
"91","Gavin Bartholomew",MIN,"TE14","22","72","93","83.4","9.0","+28"
"92","Donovan Edwards",NYJ,"RB29","22","77","108","85.8","11.7","-4"
"93","Da'Quan Felton",NYG,"WR39","24","67","101","86.6","11.2","+8"
"94","Theo Wease Jr.",MIA,"WR40","24","58","104","79.0","17.9","+27"
"95","Dominic Lovett",DET,"WR41","22","67","86","79.3","7.6","+17"
"96","Andrew Armstrong",MIA,"WR42","24","63","98","76.7","15.3","+1"
"97","Kobe Hudson",CAR,"WR43","-","71","116","92.0","16.4","-20"
"98","Robbie Ouzts",SEA,"TE15","22","71","114","92.0","15.3","+30"
"99","Jamaal Pritchett",NYJ,"WR44","-","67","112","92.5","19.2","+7"
"100","Mario Williams",FA,"WR45","-","71","100","83.0","12.4","-"
"101","Montrell Johnson Jr.",PHI,"RB30","22","80","110","96.0","10.7","-6"
"102","Graham Mertz",HOU,"QB12","24","78","105","87.0","12.7","+29"
"103","Jackson Hawes",BUF,"TE16","24","67","113","97.5","18.8","+14"
"104","Roc Taylor",PIT,"WR46","22","72","107","90.7","14.4","+19"
"105","Kelly Akharaiyi",BUF,"WR47","-","75","111","91.7","14.8","-"
"106","Caleb Lohner",DEN,"TE17","23","75","109","92.0","13.9","-22"
"107","Lan Larison",NE,"RB31","-","73","121","93.0","20.4","-16"
"108","Moliki Matavao",NO,"TE18","22","91","115","101.8","9.4","+6"
"109","Zakhari Franklin",FA,"WR48","24","87","105","95.7","7.4","-"
"110","Brady Cook",NYJ,"QB13","23","90","108","97.7","7.6","+38"
"111","Joshua Simon",ATL,"TE19","24","74","118","98.3","18.3","+15"
"112","Bru McCoy",FA,"WR49","-","76","99","87.5","11.5","-12"
"113","Ajou Ajou",IND,"WR50","23","81","97","89.0","8.0","-"
"114","Moose Muhammad III",FA,"WR51","24","82","119","101.0","15.1","-"
"115","Bryson Nesbit",MIN,"TE20","22","86","111","101.0","10.8","-21"
"116","Junior Bergen",SF,"WR52","-","83","104","93.5","10.5","-"
"117","CJ Dippre",NE,"TE21","23","96","122","105.3","11.8","-4"
"118","Josh Kelly",DAL,"WR53","24","88","125","108.3","15.3","-14"
"119","Tommy Mellott",LV,"QB14","-","85","116","100.5","15.5","-36"
"120","Seth Henigan",JAC,"QB15","22","79","124","101.5","22.5","+14"
"121","Benjamin Yurosek",FA,"TE22","-","88","121","109.7","15.3","+21"
"122","Will Sheppard",GB,"WR54","23","86","123","110.3","17.2","+3"
"123","Traeshin Holden",DAL,"WR55","-","97","119","108.0","11.0","-"
"124","Ulysses Bentley IV",IND,"RB32","24","99","126","112.5","13.5","-8"
"125","Jacolby George",CAR,"WR56","22","107","117","112.0","5.0","-15"
"126","Sam Brown Jr.",GB,"WR57","22","109","118","113.5","4.5","+4"
"127","Caden Prieskorn",DEN,"TE23","25","120","127","123.5","3.5","-9"
